views,likes,comments,shares,author_verified,primary_hashtag,music_name,music_is_original,duration_sec,caption,upload_date,author_name,video_id
197200,25700,414,518,False,georgerussell,This City,False,9,I feel so sorry for you George💔 #georgerussell #mercedes #f1 #formula1 #fy #foryou,2020-12-06,funniest.f1.moments,6903247940127640834
44000,4029,95,0,False,,original sound,True,24,,2020-11-15,mfaabdallah,6895453128989101313
198500,13000,52,349,False,qucee,original sound,True,59,Ben even vergeten part 2? #qucee #viral #foryoupage #foryou #peterpiet,2020-12-12,quceememepies,6905505804959452417
124000,11200,213,57,False,,original sound,True,15,بكري ماهمو الا مرتو. والاكل 💔🥺ياخسارة  الشكلاطات بس,2020-12-05,mo.rab,6902725059429911809
102400,20700,86,110,False,naruto,hi_hi_cutiepie corpse,True,11,Ответить пользователю @anwexte вот богиня темари) #naruto #temari #shikamaru #gaara #anime #animeedit #recommendations #fyp,2020-12-08,xaaku,6903809474268646658
109200,10600,195,313,False,horadearrasar,Rave na Praia,False,13,#horadearrasar,2020-10-18,blakizim.3xp,6884981528430988546
89500,13400,469,860,False,vibe,original sound,True,59,#vibe #drums #fun #duet #fyp #happy #music,2020-12-19,detroitnomad,6908111363365768453
1800000,299500,2637,377,True,asmr,original sound,True,53,MORE GLOBBLES #ASMR #GLOBBLEASMR,2020-12-16,kylethomas,6906845094473649410
66600,23000,186,224,False,horadearrasar,som original,True,13,#horadearrasar,2020-10-03,jesus_reina.oficial,6879440891853982978
6458,712,24,5,False,туториал,Coffee for Your Head,False,60,Вот и туториал ✔️ #туториал #аниме #наруто #naruto #anime #animeedit #рек #limonka_pechenka #ПорадуйМаму #ДавайБросать #рекомендации,2020-12-04,limonka_pechenka,6902396851106925825
63700,5449,131,19,False,checkitout,Lets Link,False,37,Reply to @jakedyang #checkitout,2020-09-28,kadds.pov,6877337975030598917
139300,16800,150,198,False,horadearrasar,Oh My God,False,13,#horadearrasar #fy #foryou #tiktok,2020-12-17,lumadiniz_,6907233534893640965
83200,2961,38,17,False,horadearrasar,som original,True,13,Será que temos estilo?? #horadearrasar #diadecao #bulldogfrances #frenchie,2020-09-26,bulldoguitass,6876760427229957377
202200,38700,408,915,False,helloworld,original sound,True,13,spain but without the s #helloworld #animeedit #helloworldanime #animereccomendations #fyp #fypシ #foryoupage #amv #sadanime #romanceanime #weeb #otaku,2020-10-23,angel_waifu,6886872042411494658
53800,5328,106,56,False,gnc,original sound,True,58,Reply to @boiledleche like and comment if you want me make more videos about scummy things gnc does #gnc #fyp #gym #fitness #muscle #SmallBusiness,2020-11-28,zachlagana,6900302214896618757
198500,50500,578,457,False,детиморя,Always Forever,False,15,❗Дети Моря❗#детиморя #edit #эдит #recommendations #рекомендации #globalrecommendations #recomendation #anime #animeedit #аниме #антмеэдит,2020-10-16,applepi.owo,6884265104637005057
3854,154,2,1,False,foryou,original sound,True,15,#foryou #foryou #foryou,2020-10-07,whomustafa5,6880877914078842113
1900000,218600,2397,1197,False,horadearrasar,som original,True,13,O mundo girou     #horadearrasar #fy #fyp #foryou #geraçãotiktok #trans #foryoupage #pravoce  #acre #homemtrans #lgbtqi #omundogirou  #viral,2020-11-27,kaiogray,6899884198279073025
10400,1525,93,0,False,,Pem Huta Pata පෙම් හුට පටRotz x CleNoise x Mi,True,9,උස්සපු එකාව අහු උනා,2020-12-08,sl.notiya2,6903738407227297026
1300000,258200,3030,5762,False,attackontitan,오리지널 사운드 - 백동욱🌈,True,8,Mikasa Ackerman [shingeki no kyojin] Disculpen la calidad :( #attackontitan #snk  #mikasa #anime  #animeedit #shingekinokyojin,2020-10-10,annie.dess,6881838035051269377
12800,1546,38,18,False,jontysquad,original sound,True,14,Viral kyu nhi ho rha mein?🥀💔...Foryou? #raplikechester #jontysquad #faheemsajjad07 #standwithkashimr #slowmo #transition #viralvideo,2020-12-20,faheemsajjad07,6908309278365404418
345000,61600,972,1348,False,kanojookarishimasu,Woah people are using this,True,15,Novia de alquiler. ♥️ #kanojookarishimasu #rentagirlfriend #waifu #kawaii #otaku #anime #animeedit #girlfriend,2020-12-03,yuki__no__hana,6901815472178646274
1896,198,4,8,False,foryou,original sound,True,15,end miss NH karna #foryou #foryoupage #fyp #satndwihkashmir #fyp #sameerkahn,2020-09-27,sameerkhandj11,6877036154982616321
12900000,822200,1960,30600,False,drawing,Rocky: Eye of the Tiger,False,29,#drawing,2020-12-03,nuri100100,6902010787800370433
1200000,244200,829,362,False,,destroy things goo goo gaga,True,14,,2020-10-31,n.ieke,6889774570367192322
1500000,153600,1473,1975,False,fyp,Beast,False,21,That got shakey #fyp #fitness #gym #squat #powerlifting #powerliftingmotivation,2020-09-26,mattvena,6876835225989664002
3300000,305300,3502,34100,False,indoorcycling,Crazy in Love Aaar Remix,True,19,Those booty slaps though 🍑 #indoorcycling #indoorcyclinginstructor #soulcycle #fyp #foryourpage #xyzbca #beyonce #crazyrightnow #lit #fire,2020-10-28,naughty.fitness,6888753654594145537
196900,15900,176,133,False,foryou,BILLIE JEAN X BOO X F IT UP VMESHBEATS MASHUP,True,15,heb nu ong 100+ draften maar tis gelukt hoor pfoe #foryou #fy #netherlands !!,2020-12-02,lisakocken_,6901670973137898753
269900,15800,81,1153,False,fyp,Where Is The Love?,False,9,20 minutes of this workout paired with a calorie deficit will have your abs popping! #fyp #fypp #hiit #hiitworkout #bodybyberg,2020-10-28,bodybyberg,6888474204623195397
623000,90600,843,286,False,,Gods Plan Slowed,True,10,I m s o r r y,2020-12-18,jadeanna_,6907692740469902593
252600,26000,448,133,False,bawzarmy,Run free,False,11,Dit ziet er echt raar uit 😱😂 #bawzarmy #foryoupage #fyp,2020-10-09,joran.bawz,6881662658794294529
326400,29700,226,13,False,animeedit,original sound,True,19,#animeedit #anime #weeb #love #family #friends #recommendations #workout #gym #weight #relatable #facts #pain,2020-10-30,helaxy02,6889502513469410565
117800,8581,62,182,False,fyp,origineel geluid,True,18,Voor voetbal vragen moet je niet bij mij zijn 🤓 #fyp,2020-10-20,xrooom_,6885802277555293441
26200,447,75,10,False,fyp,ओरिजिनल साउंड,True,16,The boys were proud once more 💕 #fyp #foryoupage #foryou #MotivationMonday #gym #athlete #fitness #workout #tiktok #fanedit #myhobby #motivation #abc,2020-11-09,braydencarelius,6893192903749913858
97900,7070,222,63,False,قران,origineel geluid,True,40,Hier geloven deze meiden in: geesten  #قران #nederland #koran #trending #arnhem #trends #foryou #tik #trending #foryoupage,2020-11-24,abdeentube,6898791307016146177
59400,4662,64,80,False,,i feel kinda freeee,True,7,Wel een hele creatieve opmerking meneer!,2020-10-22,brittelisabethh,6886517104871279874
132800,42600,742,162,False,horse,ruin our friendship,True,11,That’s it. 💅 #horse#horsegirl#equestrian#equestrianlife#horsememes#horsesoftiktok,2020-12-01,ace_equestrian,6901195423273291009
62900,1242,104,32,False,fyp,Walk Challenge,True,13,#fyp #covid2020 #yolo,2020-12-13,julyaimee,6905831259478461698
57200,2380,73,106,False,foryou,origineel geluid,True,8,Vergeet niet op het plusje te klikken ➕😉volg me ook op insta 📸 en niet te vergeten blijf lachen☺️  #foryou #fy #foryoupage #herkenbaar,2020-11-08,twanuit,6892756720829893890
